,Date,ADANIPORTS,ADANIPOWER,APOLLOHOSP,ASIANPAINT,AUROPHARMA,BAJFINANCE,BALKRISIND,BANKBARODA,BERGEPAINT,BAJAJFINSV,CENTURYTEX,CUMMINSIND,ENGINERSIN,FEDERALBNK,IDFCFIRSTB,CASTROLIND,INDUSINDBK,JINDALSTEL,MCDOWELL-N,MOTHERSUMI,MUTHOOTFIN,NATIONALUM,ICICIPRULI,PIDILITIND,RELCAPITAL,SRTRANSFIN,TORNTPOWER,AMARAJABAT,APOLLOTYRE,BAJAJ-AUTO,BHARATFORG,HEROMOTOCO,HINDUNILVR,IBULHSGFIN,MANAPPURAM,TORNTPHARM,ULTRACEMCO,BHARTIARTL,KAJARIACER,TATAMOTORS,TATAMTRDVR
41,2021-07-29,659.650024,95.400002,4038.75,2997.449951,908.25,6400.100098,2307.5,80.599998,845.5,14599.049805,770.200012,842.049988,74.650002,85.900002,51.950001,140.75,992.049988,437.600006,638.0,238.449997,1563.050049,92.949997,636.349976,2296.5,17.35,1371.0,452.200012,694.849976,216.300003,3763.75,785.200012,2745.699951,2334.75,280.75,208.600006,3037.399902,7700.450195,567.150024,972.200012,292.899994,137.850006
42,2021-07-30,674.5,95.849998,4035.0,2958.449951,916.599976,6228.100098,2373.850098,80.300003,843.549988,14222.200195,795.75,852.400024,75.050003,87.449997,52.0,138.399994,981.0,431.75,640.75,234.350006,1554.75,93.5,632.950012,2278.800049,18.15,1390.099976,455.200012,719.849976,223.449997,3829.600098,771.650024,2763.300049,2333.300049,275.450012,207.350006,3071.100098,7619.200195,561.650024,994.25,293.950012,139.75
43,2021-08-02,692.0,92.849998,4048.149902,2974.050049,918.299988,6200.5,2499.399902,80.75,841.049988,14125.150391,822.599976,860.450012,74.599998,86.550003,51.849998,138.149994,988.0,424.5,651.25,234.5,1584.650024,95.0,633.849976,2262.550049,18.5,1375.849976,465.399994,720.450012,228.600006,3841.550049,785.299988,2782.199951,2332.800049,287.0,212.800003,3076.350098,7642.049805,565.150024,1000.450012,296.850006,141.0
44,2021-08-03,705.049988,91.849998,4092.699951,3027.0,916.900024,6331.899902,2519.699951,82.650002,845.799988,14295.0,810.099976,909.700012,74.900002,89.150002,51.700001,139.699997,1022.049988,421.75,652.599976,236.699997,1585.400024,94.449997,651.0,2264.149902,18.1,1338.349976,464.450012,724.450012,229.550003,3828.199951,812.200012,2819.100098,2386.850098,285.299988,212.25,3101.5,7843.25,580.200012,1028.400024,303.700012,145.25
45,2021-08-04,694.700012,90.25,4066.399902,3018.600098,906.549988,6359.149902,2496.449951,83.5,842.200012,14187.200195,780.799988,894.650024,73.849998,87.75,49.75,139.949997,1020.549988,415.950012,643.049988,236.5,1592.300049,93.349998,669.75,2264.300049,17.200001,1321.5,471.75,721.150024,225.449997,3832.0,790.849976,2805.5,2377.100098,271.149994,211.100006,3073.800049,7750.0,574.400024,1034.449951,298.149994,141.350006
46,2021-08-05,693.549988,88.150002,4073.75,2988.399902,908.099976,6248.25,2497.25,82.449997,838.200012,13994.900391,763.799988,905.349976,73.900002,85.949997,47.799999,139.850006,997.700012,425.350006,646.599976,236.899994,1584.150024,96.599998,650.5,2249.0,16.35,1331.949951,473.200012,717.799988,222.399994,3818.75,781.200012,2818.800049,2357.699951,270.25,212.300003,3056.699951,7659.0,598.700012,1016.950012,299.700012,140.300003
47,2021-08-06,710.700012,92.550003,4088.050049,2966.449951,901.299988,6224.299805,2449.199951,83.400002,827.799988,14005.650391,792.450012,900.900024,73.900002,87.150002,49.200001,141.0,1029.5,421.700012,647.849976,236.149994,1547.199951,94.199997,650.950012,2223.300049,17.1,1315.949951,475.049988,731.299988,223.350006,3847.850098,779.599976,2833.800049,2371.5,271.100006,207.449997,3063.949951,7527.649902,607.900024,1028.400024,300.049988,142.100006
48,2021-08-09,699.900024,90.349998,4003.699951,2992.550049,887.700012,6193.149902,2343.850098,81.150002,812.849976,14242.900391,776.049988,908.900024,74.75,87.75,47.400002,140.600006,1042.800049,418.149994,643.150024,230.899994,1499.199951,82.75,651.900024,2231.800049,16.35,1302.75,456.399994,728.599976,222.949997,3855.149902,775.099976,2836.300049,2384.5,267.399994,200.899994,3073.5,7495.649902,599.25,1033.949951,298.100006,141.300003
49,2021-08-10,693.0,85.849998,4062.800049,2977.149902,879.5,6170.100098,2319.0,78.099998,811.0,14036.5,759.650024,945.049988,73.150002,86.400002,45.849998,138.75,1033.599976,400.450012,637.299988,223.199997,1475.0,78.300003,658.700012,2222.350098,15.55,1275.5,456.450012,723.400024,215.350006,3797.949951,750.799988,2797.050049,2381.800049,252.850006,191.5,3026.649902,7474.149902,622.200012,1008.349976,294.200012,136.899994
50,2021-08-11,699.150024,83.400002,4026.350098,2972.600098,856.5,6167.799805,2289.75,80.650002,818.400024,14206.200195,765.150024,944.75,72.75,85.199997,46.900002,136.25,1041.199951,421.350006,646.049988,224.399994,1443.300049,82.349998,656.400024,2260.25,15.15,1295.0,457.200012,719.299988,213.5,3727.149902,782.700012,2781.600098,2390.449951,246.949997,168.25,2902.050049,7452.450195,620.849976,1014.75,295.450012,136.100006
